자백,jabaek,jabaeg,chabaek,capayk
실험,silheom,sil-heom,sirhŏm,sil.hem
싫다,silta,silhda,silt'a,silhta
싫어하다,sireohada,silh-eohada,sirŏhada,silh.ehata
심각하다,simgakhada,simgag-hada,simgakhada,sīmkak.hata
심근경색,simgeun-gyeongsaek,simgeungyeongsaeg,simgŭn'gyŏngsaek,simkunkyengsayk
심다,simda,simda,simta,sīmqta
심리,simni,simli,simni,simli
심리학,simnihak,simlihag,simnihak,simlihak
심부름,simbureum,simbuleum,simburŭm,sīmpulum
심사,simsa,simsa,simsa,simsa
심성,simseong,simseong,simsŏng,simseng
심심하다,simsimhada,simsimhada,simsimhada,simsimhata
심정,simjeong,simjeong,simjŏng,simceng
심지,simji,simji,simji,simci
심페로폴,Simperopol,Simpelopol,Simp'erop'ol,Simpheylophol
심하다,simhada,simhada,simhada,sīmhata
심혼,simhon,simhon,simhon,simhon
십각형,sipgakhyeong,sibgag-hyeong,sipkakhyŏng,sipqkak.hyeng
십구,sipgu,sibgu,sipku,sipqkwu
십날,simnal,sibnal,simnal,sipnal
십대,sipdae,sibdae,siptae,sipqtay
십륙,simnyuk,siblyug,simnyuk,siplyuk
십사,sipsa,sibsa,sipsa,sipqsa
십삼,sipsam,sibsam,sipsam,sipqsam
십오,sibo,sib-o,sibo,sip.o
십이,sibi,sib-i,sibi,sip.i
십이월,sibiwol,sib-iwol,sibiwŏl,sip.iwel
십이지장,sibijijang,sib-ijijang,sibijijang,sip.icicang
십일,sibil,sib-il,sibil,sip.il
십일월,sibirwol,sib-il-wol,sibirwŏl,sip.il.wel
십자,sipja,sibja,sipcha,sipqca
십자가,sipjaga,sibjaga,sipchaga,sipqcaka
십자고상,Sipjagosang,Sibjagosang,Sipchagosang,Sipqcakosang
십칠,sipchil,sibchil,sipch'il,sipchil
십팔,sippal,sibpal,sipp'al,sipphal
싱가포르,Singgaporeu,Singgapoleu,Singgap'orŭ,Singkapholu
싱겁다,singgeopda,singgeobda,singgŏpta,singkepqta
싱어,sing-eo,sing-eo,singŏ,sing.e
싸고돌다,ssagodolda,ssagodolda,ssagodolda,ssakotolta
싸다,ssada,ssada,ssada,ssata
싸우다,ssauda,ssauda,ssauda,ssawuta
싸움,ssaum,ssaum,ssaum,ssawum
싸움터,ssaumteo,ssaumteo,ssaumt'ŏ,ssawumthe
싸이다,ssaida,ssaida,ssaida,ssaita
싼룬처,ssalluncheo,ssanluncheo,ssallunch'ŏ,ssanlwunche
쌀국수,ssalguksu,ssalgugsu,ssalguksu,ssalkwukqswu
쌀미꾸리,ssalmikkuri,ssalmikkuli,ssalmikkuri,ssalmikkwuli
쌀밥,ssalbap,ssalbab,ssalbap,ssalpap
쌀쌀하다,ssalssalhada,ssalssal-hada,ssalssarhada,ssalssal.hata
쌀쌀히,ssalssalhi,ssalssal-hi,ssalssarhi,ssalssal.hi
쌈장,ssamjang,ssamjang,ssamjang,ssamcang
쌍곡선,ssanggokseon,ssanggogseon,ssanggoksŏn,ssangkokqsen
쌍꺼풀,ssangkkeopul,ssangkkeopul,ssangkkŏp'ul,ssangkkephul
쌍동이,ssangdong-i,ssangdong-i,ssangdongi,ssangtong.i
쌍둥이,ssangdung-i,ssangdung-i,ssangdungi,ssangtwung.i
쌍반점,ssangbanjeom,ssangbanjeom,ssangbanjŏm,ssangpancem
쌍방,ssangbang,ssangbang,ssangbang,ssangpang
쌍안경,ssang-an-gyeong,ssang-angyeong,ssangan'gyŏng,ssang.ankyeng
쌍점,ssangjeom,ssangjeom,ssangjŏm,ssangcem
쌍정,ssangjeong,ssangjeong,ssangjŏng,ssangceng
쌓다,ssata,ssahda,ssat'a,ssahta
쌓이다,ssaida,ssah-ida,ssaida,ssah.ita
쌩얼,ssaeng-eol,ssaeng-eol,ssaengŏl,ssayng.el
써레,sseore,sseole,ssŏre,sseley
써리다,sseorida,sseolida,ssŏrida,ssēlita
써우지,sseouji,sseouji,ssŏuji,ssewuci
썩다,sseokda,sseogda,ssŏkta,ssekqta
썬글라스,sseon-geullaseu,sseongeullaseu,ssŏn'gŭllasŭ,ssenkullasu
썰다,sseolda,sseolda,ssŏlda,ssēlta
썰매,sseolmae,sseolmae,ssŏlmae,sselmay
썸팅,sseomting,sseomting,ssŏmt'ing,ssemthing
쎈터,ssenteo,ssenteo,ssent'ŏ,sseynthe
쏘가리,ssogari,ssogali,ssogari,ssokali
쏘다,ssoda,ssoda,ssoda,ssōta
쏘련,Ssoryeon,Ssolyeon,Ssoryŏn,Ssolyen
쏜살같이,ssonsalgachi,ssonsalgat-i,ssonsalgachi,ssonsalkath.i
쏟다,ssotda,ssodda,ssotta,ssotqta
쏟아지다,ssodajida,ssod-ajida,ssodajida,ssot.acita
쏠다,ssolda,ssolda,ssolda,ssōlta
쏨땀,ssomttam,ssomttam,ssomttam,ssomttam
쐐기,sswaegi,sswaegi,sswaegi,sswāyki
쑤시다,ssusida,ssusida,ssusida,sswusita
쑥,ssuk,ssug,ssuk,sswuk
쑥갓,ssukgat,ssuggas,ssukkat,sswukqkas
쒀이러우,sswoireou,sswoileou,sswŏirŏu,ssweilewu
쓰다,sseuda,sseuda,ssŭda,ssuta
쓰다듬다,sseudadeumda,sseudadeumda,ssŭdadŭmda,ssutatumta
쓰러지다,sseureojida,sseuleojida,ssŭrŏjida,ssulecita
쓰레기,sseuregi,sseulegi,ssŭregi,ssuleyki
쓰레기통,sseuregitong,sseulegitong,ssŭregit'ong,ssuleykithong
쓰레받기,sseurebatgi,sseulebadgi,ssŭrebatki,ssuleypatqki
쓰리,sseuri,sseuli,ssŭri,ssuli
쓰이다,sseu-ida,sseu-ida,ssŭida,ssuita
쓰촨,Sseuchwan,Sseuchwan,Ssŭch'wan,Ssuchwan
쓸개,sseulgae,sseulgae,ssŭlgae,ssulkay
쓸개즙,sseulgaejeup,sseulgaejeub,ssŭlgaejŭp,ssulkaycup
쓸다,sseulda,sseulda,ssŭlda,ssulta
쓸데,sseulde,sseulde,ssŭlte,ssulqtey
쓸데없다,sseuldeeopda,sseuldeeobsda,ssŭldeŏpta,ssulteyepsqta
쓸모,sseulmo,sseulmo,ssŭlmo,ssulmo
씁쓸하다,sseupsseulhada,sseubsseul-hada,ssŭpssŭrhada,ssupssul.hata
씌우다,ssuiuda,ssuiuda,ssŭiuda,ssuywuta
씨름,ssireum,ssileum,ssirŭm,ssilum
씨발,ssibal,ssibal,ssibal,ssipal
씨앗,ssiat,ssias,ssiat,ssias
씨팔,ssipal,ssipal,ssip'al,ssiphal
씹거웃,ssipgeout,ssibgeous,ssipkŏut,ssipqkewus
씹다,ssipda,ssibda,ssipta,ssipqta
씹두덩,ssipdudeong,ssibdudeong,ssiptudŏng,ssipqtwuteng
씹새끼,ssipsaekki,ssibsaekki,ssipsaekki,ssipqsaykki
씹하다,ssiphada,ssib-hada,ssiphada,ssip.hata
씻다,ssitda,ssisda,ssitta,ssisqta
씻은듯이,ssiseundeusi,ssis-eundeus-i,ssisŭndŭsi,ssis.untus.i
아가,aga,aga,aga,āka
아가씨,agassi,agassi,agassi,akassi
아귀,agwi,agwi,agwi,akwi
아그라,Ageura,Ageula,Agŭra,Akula
아기,agi,agi,agi,aki
아까,akka,akka,akka,akka
아깝다,akkapda,akkabda,akkapta,akkapqta
아끼다,akkida,akkida,akkida,akkita
아나운서,anaunseo,anaunseo,anaunsŏ,anawunse
아나키즘,anakijeum,anakijeum,anak'ijŭm,anakhicum
아낙,anak,anag,anak,anak
아내,anae,anae,anae,anay
아냐,anya,anya,anya,anya
아니,ani,ani,ani,ani
아니메,anime,anime,anime,animey
아니야,aniya,aniya,aniya,aniya
아니요,aniyo,aniyo,aniyo,aniyo
아니하다,anihada,anihada,anihada,anihata
아담,Adam,Adam,Adam,Atam
아도,ado,ado,ado,ato
아드님,adeunim,adeunim,adŭnim,atunim
아들,adeul,adeul,adŭl,atul
아디스아바바,Adiseuababa,Adiseuababa,Adisŭababa,Atisuapapa
아라,ara,ala,ara,ala
아라비아,Arabia,Alabia,Arabia,Alapia
아라비아인,arabiain,alabiain,arabiain,alapiain
아라사,Arasa,Alasa,Arasa,Alasa
아라한,arahan,alahan,arahan,alahan
아랍,arap,alab,arap,alap
아랍 에미리트 연방,Arap emiriteu yeonbang,Alab emiliteu yeonbang,Arap emirit'ŭ yŏnbang,Alap eymilithu yenpang
아랍어,arabeo,alab-eo,arabŏ,alap.e
아랍에미리트,Arabemiriteu,Alab-emiliteu,Arabemirit'ŭ,Alap.eymilithu
아래,arae,alae,arae,alay
아랫사람,araetsaram,alaessalam,araessaram,alaysqsalam
아레스,Areseu,Aleseu,Aresŭ,Aleysu
아련,aryeon,alyeon,aryŏn,alyen
아련하다,aryeonhada,alyeon-hada,aryŏnhada,alyen.hata
아련히,aryeonhi,alyeon-hi,aryŏnhi,alyen.hi
아론,aron,alon,aron,alon
아뢰다,aroeda,aloeda,aroeda,aloyta
아르곤,areugon,aleugon,arŭgon,alukon
아르메니아,Areumenia,Aleumenia,Arŭmenia,Alumeynia
아르바이트,areubaiteu,aleubaiteu,arŭbait'ŭ,alupaithu
아르테미스,areutemiseu,aleutemiseu,arŭt'emisŭ,alutheymisu
아르헨티나,Areuhentina,Aleuhentina,Arŭhent'ina,Aluheynthina
아름답다,areumdapda,aleumdabda,arŭmdapta,alumtapqta
아리,ari,ali,ari,ali
아리땁다,arittapda,alittabda,arittapta,alittapqta
아리랑,Arirang,Alilang,Arirang,Alilang
아리수,arisu,alisu,arisu,aliswu
아마,ama,ama,ama,ama
아마도,amado,amado,amado,amato
아마추어,amachueo,amachueo,amach'uŏ,amachwue
아말감,amalgam,amalgam,amalgam,amalkam
아메리슘,amerisyum,amelisyum,amerisyum,ameylisyum
아메리카,Amerika,Amelika,Amerik'a,Ameylikha
아메리카홍머리오리,amerikahongmeoriori,amelikahongmeolioli,amerik'ahongmŏriori,ameylikhahongmelioli
아메바,ameba,ameba,ameba,ameypa
아멘,amen,amen,amen,ameyn
아몬드,amondeu,amondeu,amondŭ,amontu
아무,amu,amu,amu,āmu
아무것,amugeot,amugeos,amugŏt,āmukes
아무래도,amuraedo,amulaedo,amuraedo,āmulayto
아무런,amureon,amuleon,amurŏn,āmulen
아무렇다,amureota,amuleohda,amurŏt'a,āmulehta
아무르산개구리,amureusan-gaeguri,amuleusangaeguli,amurŭsan'gaeguri,amulusankaykwuli
아무리,amuri,amuli,amuri,āmuli
아무튼,amuteun,amuteun,amut'ŭn,āmuthun
아미노,amino,amino,amino,amino
아미노산,aminosan,aminosan,aminosan,aminosan
아미딘,amidin,amidin,amidin,amitin
아민,amin,amin,amin,amin
아바나,Abana,Abana,Abana,Apana
아버님,abeonim,abeonim,abŏnim,apenim
아벨,Abel,Abel,Abel,Apeyl
아보카도,abokado,abokado,abok'ado,apokhato
아부다비,Abudabi,Abudabi,Abudabi,Aputapi
아부자,Abuja,Abuja,Abuja,Apuca
아브라함,abeuraham,abeulaham,abŭraham,apulaham
아비,abi,abi,abi,api
아비달마,abidalma,abidalma,abidalma,apitalma
아비장,Abijang,Abijang,Abijang,Apicang
아빠,appa,appa,appa,appa
아서,aseo,aseo,asŏ,ase
아세나프텐,asenapeuten,asenapeuten,asenap'ŭt'en,aseynaphutheyn
아순시온,Asunsion,Asunsion,Asunsion,Aswunsion
아쉬움,aswium,aswium,ashwium,aswiwum
아쉽다,aswipda,aswibda,ashwipta,aswipqta
아스마라,Aseumara,Aseumala,Asŭmara,Asumala
아스타나,Aseutana,Aseutana,Asŭt'ana,Asuthana
아스타틴,aseutatin,aseutatin,asŭt'at'in,asuthathin
아스파라거스,aseuparageoseu,aseupalageoseu,asŭp'aragŏsŭ,asuphalakesu
아스하바트,Aseuhabateu,Aseuhabateu,Asŭhabat'ŭ,Asuhapathu
아시아,Asia,Asia,Asia,Asia
아실기,asilgi,asilgi,asilgi,asilki
아씨,assi,assi,assi,āssi
아악,aak,aag,aak,āak
아야,aya,aya,aya,aya
아야톨라,ayatolla,ayatolla,ayat'olla,ayatholla
아예,aye,aye,aye,ayey
아오자이,aojai,aojai,aojai,aocai
아요,ayo,ayo,ayo,ayo
아우,au,au,au,awu
아우구스투스,auguseutuseu,auguseutuseu,augusŭt'usŭ,awukwusuthwusu
아울러,aulleo,aulleo,aullŏ,awulle
아웃,aut,aus,aut,awus
아유,ayu,ayu,ayu,ayu
아이고,aigo,aigo,aigo,aiko
아이누어,ainueo,ainueo,ainuŏ,ainwue
아이들,aideul,aideul,aidŭl,aitul
아이디어,aidieo,aidieo,aidiŏ,aitie
아이스,aiseu,aiseu,aisŭ,aisu
아이스크림,aiseukeurim,aiseukeulim,aisŭk'ŭrim,aisukhulīm
아이스하키,aiseuhaki,aiseuhaki,aisŭhak'i,aisuhakhi
아이슬란드,Aiseullandeu,Aiseullandeu,Aisŭllandŭ,Aisullantu
아이오딘,aiodin,aiodin,aiodin,aiotin
아이콘,aikon,aikon,aik'on,aikhon
아이티,Aiti,Aiti,Ait'i,Aithi
아이폰,aipon,aipon,aip'on,aiphon
아인슈타이늄,ainsyutainyum,ainsyutainyum,ainsyut'ainyum,ainsyuthainyum
아일랜드,Aillaendeu,Aillaendeu,Aillaendŭ,Aillayntu
아자,aja,aja,aja,aca
아자아자 화이팅,ajaaja hwaiting,ajaaja hwaiting,ajaaja hwait'ing,acaaca hwaithing
아쟁,ajaeng,ajaeng,ajaeng,acayng
아저씨,ajeossi,ajeossi,ajŏssi,acessi
아제르바이잔,Ajereubaijan,Ajeleubaijan,Ajerŭbaijan,Aceylupaican
아제티딘,ajetidin,ajetidin,ajet'idin,aceythitin
아주,aju,aju,aju,acwu
아주머니,ajumeoni,ajumeoni,ajumŏni,acwumeni
아줄렌,ajullen,ajullen,ajullen,acwulleyn
아줌마,ajumma,ajumma,ajumma,acwumma
아지,aji,aji,aji,aci
아지트,ajiteu,ajiteu,ajit'ŭ,acithu
아첨,acheom,acheom,ach'ŏm,achem
아첨하다,acheomhada,acheomhada,ach'ŏmhada,achemhata
아침,achim,achim,ach'im,achim
아침 식사,achim siksa,achim sigsa,ach'im siksa,achim sikqsa
아카데미,akademi,akademi,ak'ademi,akhateymi
아크라,Akeura,Akeula,Ak'ŭra,Akhula
아크리딘,akeuridin,akeulidin,ak'ŭridin,akhulitin
아테나,atena,atena,at'ena,atheyna
아테네,Atene,Atene,At'ene,Atheyney
아티스트,atiseuteu,atiseuteu,at'isŭt'ŭ,athisuthu
아티초크,atichokeu,atichokeu,at'ich'ok'ŭ,athichokhu
아파르트헤이트,apareuteuheiteu,apaleuteuheiteu,ap'arŭt'ŭheit'ŭ,aphaluthuheyithu
아파트,apateu,apateu,ap'at'ŭ,aphathu
아폴론,apollon,apollon,ap'ollon,aphollon
아프가니스탄,Apeuganiseutan,Apeuganiseutan,Ap'ŭganisŭt'an,Aphukanisuthan
아프다,apeuda,apeuda,ap'ŭda,aphuta
아프로디테,apeurodite,apeulodite,ap'ŭrodit'e,aphulotithey
아프리카,Apeurika,Apeulika,Ap'ŭrik'a,Aphulikha
아프리칸스어,apeurikanseueo,apeulikanseueo,ap'ŭrik'ansŭŏ,aphulikhansue
아픔,apeum,apeum,ap'ŭm,aphum
아피아,Apia,Apia,Ap'ia,Aphia
아홉째,ahopjjae,ahobjjae,ahoptchae,ahopccay
아휴,ahyu,ahyu,ahyu,ahyu
아흐레,aheure,aheule,ahŭre,ahuley
아흔,aheun,aheun,ahŭn,ahun
악곡,akgok,aggog,akkok,akqkok
악귀,akgwi,aggwi,akkwi,akqkwi
악단,akdan,agdan,aktan,akqtan
악담,akdam,agdam,aktam,akqtam
악덕,akdeok,agdeog,aktŏk,akqtek
악동,akdong,agdong,aktong,akqtong
악력,angnyeok,aglyeog,angnyŏk,aklyek
악마,angma,agma,angma,akma
악몽,angmong,agmong,angmong,akmong
악성,akseong,agseong,aksŏng,akqseng
악수,aksu,agsu,aksu,akqswu
악수하다,aksuhada,agsuhada,aksuhada,akqswuhata
악습,akseup,agseub,aksŭp,akqsup
악어,ageo,ag-eo,agŏ,ak.e
악영향,agyeonghyang,ag-yeonghyang,agyŏnghyang,ak.yenghyang
악의 주축,agui juchuk,ag-ui juchug,agŭi chuch'uk,ak.uy cwuchwuk
안개,an-gae,angae,an'gae,ankay
안경,an-gyeong,angyeong,an'gyŏng,ānkyeng
안남,Annam,Annam,Annam,Annam
안내,annae,annae,annae,ānnay
안내인,annaein,annaein,annaein,ānnayin
안내장,annaejang,annaejang,annaechang,ānnayqcang
안내하다,annaehada,annaehada,annaehada,annayhata
안녕,annyeong,annyeong,annyŏng,annyeng
안녕하다,annyeonghada,annyeonghada,annyŏnghada,annyenghata
안녕히,annyeonghi,annyeonghi,annyŏnghi,annyenghi
안다,anda,anda,anta,ānqta
안도라,Andora,Andola,Andora,Antola
안되다,andoeda,andoeda,andoeda,antoyta
안드레아,andeurea,andeulea,andŭrea,antuleya
안드레이,Andeurei,Andeulei,Andŭrei,Antuleyi
안뜰,antteul,antteul,anttŭl,anttul
안락사,allaksa,anlagsa,allaksa,anlakqsa
안락의자,allaguija,anlag-uija,allagŭija,anlak.uyca
안마,anma,anma,anma,ānma
안마당,anmadang,anmadang,anmadang,anmatang
안면승마,anmyeonseungma,anmyeonseungma,anmyŏnsŭngma,anmyensungma
안목,anmok,anmog,anmok,ānmok
안방,anbang,anbang,anbang,anpang
안성맞춤,anseongmatchum,anseongmajchum,ansŏngmatch'um,ansengmacchwum
안습,anseup,anseub,ansŭp,ansup
안심,ansim,ansim,ansim,ansim
안심하다,ansimhada,ansimhada,ansimhada,ansimhata
안와,anwa,an-wa,anwa,ān.wa
안전,anjeon,anjeon,anjŏn,ancen
안전제일,anjeonjeil,anjeonjeil,anjŏnjeil,ancenceyil
안전하다,anjeonhada,anjeon-hada,anjŏnhada,ancen.hata
안정,anjeong,anjeong,anjŏng,anceng
안주,anju,anju,anju,ancwu
안주애기박쥐,anjuaegibakjwi,anjuaegibagjwi,anjuaegibakchwi,ancwuaykipakqcwi
안쪽,anjjok,anjjog,antchok,anccok
안타깝다,antakkapda,antakkabda,ant'akkapta,anthakkapqta
안타나나리보,Antananaribo,Antananalibo,Ant'ananaribo,Anthananalipo
안테나,antena,antena,ant'ena,antheyna
안트라센,anteurasen,anteulasen,ant'ŭrasen,anthulaseyn
안티모니,antimoni,antimoni,ant'imoni,anthimoni
안티오키아,Antiokia,Antiokia,Ant'iok'ia,Anthiokhia
안해,anhae,an-hae,anhae,an.hay
안후이,Anhu-i,An-hu-i,Anhui,An.hwui
안휘,Anhwi,An-hwi,Anhwi,An.hwi
앉다,anda,anjda,anta,ancqta
앉은자리,anjeunjari,anj-eunjali,anjŭnjari,anc.uncali
알고리즘,algorijeum,algolijeum,algorijŭm,alkolicum
알곡,algok,algog,algok,alkok
알까기,alkkagi,alkkagi,alkkagi,alkkaki
알데하이드,aldehaideu,aldehaideu,aldehaidŭ,alteyhaitu
알데히드,aldehideu,aldehideu,aldehidŭ,alteyhitu
알라,alla,alla,alla,alla
알라딘,Alladin,Alladin,Alladin,Allatin
알락개구리매,allakgaegurimae,allaggaegulimae,allakkaegurimae,allakqkaykwulimay
알락오리,allagori,allag-oli,allagori,allak.oli
알락해오라기,allakhae-oragi,allag-hae-olagi,allakhaeoragi,allak.hayolaki
알레르기,allereugi,alleleugi,allerŭgi,alleyluki
알렉산드리아,Alleksandeuria,Allegsandeulia,Alleksandŭria,Alleykqsantulia
알루미늄,alluminyum,alluminyum,alluminyum,allwuminyum
알리고,alligo,alligo,alligo,alliko
알리다,allida,allida,allida,allita
알릴기,allilgi,allilgi,allilgi,allilki
알맞다,almatda,almajda,almatta,almacqta
알바,alba,alba,alba,alpa
알바니아,Albania,Albania,Albania,Alpania
알바니아어,albania-eo,albania-eo,albaniaŏ,alpaniae
알밥,albap,albab,albap,alpap
알부민,albumin,albumin,albumin,alpumin
알아듣다,aradeutda,al-adeudda,aradŭtta,al.atutqta
알아보다,araboda,al-aboda,araboda,al.apota
알아차리다,aracharida,al-achalida,arach'arida,al.achalita
알제,Alje,Alje,Alje,Alcey
알제리,Aljeri,Aljeli,Aljeri,Alceyli
알카인,alkain,alkain,alk'ain,alkhain
알칸,alkan,alkan,alk'an,alkhan
알케인,alkein,alkein,alk'ein,alkheyin
알켄,alken,alken,alk'en,alkheyn
알코올,alkool,alkool,alk'ool,alkhool
알콜,alkol,alkol,alk'ol,alkhol
알킨,alkin,alkin,alk'in,alkhin
알파,alpa,alpa,alp'a,alpha
알파벳,alpabet,alpabes,alp'abet,alphapeys
알판,alpan,alpan,alp'an,alphan
앎,am,alm,am,ālm
앓다,alta,alhda,alt'a,alhta
앓아눕다,aranupda,alh-anubda,aranupta,alh.anwupqta
앓이,ari,alh-i,ari,alh.i
암기,amgi,amgi,amgi,āmki
암기하다,amgihada,amgihada,amgihada,āmkihata
암만,Amman,Amman,Amman,Amman
암살자,amsalja,amsalja,amsalcha,āmsalqca
암석,amseok,amseog,amsŏk,amsek
암소,amso,amso,amso,amso
암스테르담,Amseutereudam,Amseuteleudam,Amsŭt'erŭdam,Amsutheylutam
암실,amsil,amsil,amsil,āmsil
암유,amyu,am-yu,amyu,ām.yu
암초,amcho,amcho,amch'o,āmcho
암컷,amkeot,amkeos,amk'ŏt,amkhes
암탉,amtak,amtalg,amt'ak,amthalk
암페어,ampeeo,ampeeo,amp'eŏ,ampheye
암호,amho,amho,amho,āmho
암흑,amheuk,amheug,amhŭk,āmhuk
압도하다,apdohada,abdohada,aptohada,apqtohata
압력,amnyeok,ablyeog,amnyŏk,aplyek
압록강,Amnokgang,Abloggang,Amnokkang,Aplokqkang
압록자그사니,amnokjageusani,ablogjageusani,amnokchagŭsani,aplokqcakusani
압박,apbak,abbag,appak,apqpak
압생트,apsaengteu,absaengteu,apsaengt'ŭ,apqsayngthu
앙골라,Anggolla,Anggolla,Anggolla,Angkolla
앙상블,angsangbeul,angsangbeul,angsangbŭl,angsangpul
앙카라,Angkara,Angkala,Angk'ara,Angkhala
앞다리,apdari,apdali,aptari,aphqtali
앞두다,apduda,apduda,aptuda,aphqtwuta
앞뒤,apdwi,apdwi,aptwi,aphqtwi
앞서,apseo,apseo,apsŏ,aphqse
앞서다,apseoda,apseoda,apsŏda,aphqseta
앞장서다,apjangseoda,apjangseoda,apchangsŏda,aphqcangseta
앞치마,apchima,apchima,apch'ima,aphchima
애교,aegyo,aegyo,aegyo,āykyo
애교살,aegyosal,aegyosal,aegyosal,aykyosal
애교쟁이,aegyojaeng-i,aegyojaeng-i,aegyojaengi,aykyocayng.i
애국심,aeguksim,aegugsim,aeguksim,āykwukqsim
애국자,aegukja,aegugja,aegukcha,āykwukqca
애국주의,aegukjuui,aegugjuui,aegukchuŭi,āykwukqcwuuy
애굽,Aegup,Aegub,Aegup,Aykwup
애기,aegi,aegi,aegi,ayki
애기망둑,aegimangduk,aegimangdug,aegimangduk,āykimangtwuk
애기박쥐,aegibakjwi,aegibagjwi,aegibakchwi,aykipakqcwi
애니메이션,aenimeisyeon,aenimeisyeon,aenimeisyŏn,aynimeyisyen
애도,aedo,aedo,aedo,ayto
애드웨어,aedeuweeo,aedeuweeo,aedŭweŏ,aytuweye
애매모호,aemaemoho,aemaemoho,aemaemoho,āymaymoho
애매모호하다,aemaemohohada,aemaemohohada,aemaemohohada,āymaymohohata
애무,aemu,aemu,aemu,āymu
애무하다,aemuhada,aemuhada,aemuhada,āymuhata
애벌레,aebeolle,aebeolle,aebŏlle,āypelley
애비,aebi,aebi,aebi,aypi
애쓰다,aesseuda,aesseuda,aessŭda,āyssuta
애완동물,aewandongmul,aewandongmul,aewandongmul,āywantongmul
애인,aein,aein,aein,āyin
애정,aejeong,aejeong,aejŏng,āyceng
애초,aecho,aecho,aech'o,aycho
애칭,aeching,aeching,aech'ing,āyching
애틋하다,aeteuthada,aeteushada,aet'ŭthada,aythushata
애플리케이션,aepeullikeisyeon,aepeullikeisyeon,aep'ŭllik'eisyŏn,ayphullikheyisyen
애환,aehwan,aehwan,aehwan,ayhwan
액세서리,aekseseori,aegseseoli,aeksesŏri,aykqseyseli
액수,aeksu,aegsu,aeksu,aykqswu
액체,aekche,aegche,aekch'e,aykchey
앤티가 바부다,Aentiga babuda,Aentiga babuda,Aent'iga pabuda,Aynthika paputa
앨리게이터,aelligeiteo,aelligeiteo,aelligeit'ŏ,ayllikeyithe
앨리트,aelliteu,aelliteu,aellit'ŭ,ayllithu
앨범,aelbeom,aelbeom,aelbŏm,aylpem
앰뷸런스,aembyulleonseu,aembyulleonseu,aembyullŏnsŭ,aympyullensu
앰풀,aempul,aempul,aemp'ul,aymphul
앵무새,aengmusae,aengmusae,aengmusae,ayngmusay
야곱,yagop,yagob,yagop,yakop
야구,yagu,yagu,yagu,yākwu
야구 선수,yagu seonsu,yagu seonsu,yagu sŏnsu,yakwu senswu
야구장,yagujang,yagujang,yagujang,yākwucang
야금야금,yageumyageum/yageumnyageum,yageum-yageum/yageumnyageum,yagŭmyagŭm/yagŭmnyagŭm,yakum.yakum/yakumnyakum
야기하다,yagihada,yagihada,yagihada,yākihata
야드,yadeu,yadeu,yadŭ,yatu
야레,yare,yale,yare,yaley
야마토,Yamato,Yamato,Yamat'o,Yamatho
야만인,yamanin,yaman-in,yamanin,yāman.in
야망,yamang,yamang,yamang,yāmang
야무수크로,Yamusukeuro,Yamusukeulo,Yamusuk'ŭro,Yamuswukhulo
야민정음,yaminjeong-eum,yaminjeong-eum,yaminjŏngŭm,yaminceng.um
야심,yasim,yasim,yasim,yāsim
야운데,Yaunde,Yaunde,Yaunde,Yawuntey
야자유,yajayu,yajayu,yajayu,yācayu
야채,yachae,yachae,yach'ae,yāchay
야쿠자,yakuja,yakuja,yak'uja,yakhwuca
야쿠츠크,Yakucheukeu,Yakucheukeu,Yak'uch'ŭk'ŭ,Yakhwuchukhu
야하다,yahada,yahada,yahada,yāhata
야한,yahan,yahan,yahan,yāhan
야회,yahoe,yahoe,yahoe,yāhoy
야훼,yahwe,yahwe,yahwe,yahwey
약간,yakgan,yaggan,yakkan,yakqkan
약국,yakguk,yaggug,yakkuk,yakqkwuk
약사,yaksa,yagsa,yakssa,yakqqsa
약속,yaksok,yagsog,yaksok,yakqsok
약속하다,yaksokhada,yagsog-hada,yaksokhada,yakqsok.hata
약식,yaksik,yagsig,yaksik,yakqsik
약어,yageo,yag-eo,yagŏ,yak.e
약자,yakja,yagja,yakcha,yakqca
약점,yakjeom,yagjeom,yakchŏm,yakqcem
약주,yakju,yagju,yakchu,yakqcwu
약탈,yaktal,yagtal,yakt'al,yakthal
약하다,yakhada,yag-hada,yakhada,yak.hata
약학,yakhak,yag-hag,yakhak,yak.hak
약혼,yakhon,yag-hon,yakhon,yak.hon
약혼녀,yakhonnyeo,yag-honnyeo,yakhonnyŏ,yak.honnye
약혼자,yakhonja,yag-honja,yakhonja,yak.honca
얇다,yalda,yalbda,yalta,yālpqta
얌차,yamcha,yamcha,yamch'a,yamcha
양곤,Yanggon,Yanggon,Yanggon,Yangkon
양국,yangguk,yanggug,yangguk,yangkwuk
양금,yanggeum,yanggeum,yanggŭm,yangkum
양동이,yangdong-i,yangdong-i,yangdongi,yangtong.i
양력,yangnyeok,yanglyeog,yangnyŏk,yanglyek
양로쵈,yangnochwael,yanglochwael,yangnoch'wael,yanglochwayl
양말,yangmal,yangmal,yangmal,yangmal
양모,yangmo,yangmo,yangmo,yangmo
양반,yangban,yangban,yangban,yangpan
양배추,yangbaechu,yangbaechu,yangbaech'u,yangpaychwu
양복,yangbok,yangbog,yangbok,yangpok
양봉,yangbong,yangbong,yangbong,yāngpong
양봉가,yangbongga,yangbongga,yangbongga,yāngpongka
양상,yangsang,yangsang,yangsang,yangsang
양서류,yangseoryu,yangseolyu,yangsŏryu,yāngselyu
